Country,Year,Disease,Disease Category,Prevalence,Incidence,Mortality,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Recovery Rate (%),Improvement in 5 Years (%),Urbanization Rate (%)
China,2023,Cancer,Parasitic,8.14,8.96,3.38,259641.0,65.58,4.16,0.62,82.86,1.62,49.05
Brazil,2021,Cancer,Autoimmune,12.95,8.43,9.62,352774.0,74.74,1.23,8.56,74.41,7.19,35.32
China,2020,Asthma,Neurological,15.25,8.98,9.7,886729.0,65.99,4.68,4.31,83.12,0.62,49.99
Mexico,2022,Asthma,Autoimmune,5.21,13.64,2.46,436715.0,97.48,1.94,0.7,90.51,0.28,27.03
South Korea,2024,Diabetes,Cardiovascular,2.61,4.49,4.78,83009.0,99.08,3.32,3.27,63.81,6.75,68.09
France,2023,Asthma,Respiratory,4.28,1.42,0.84,1851.0,50.98,4.79,5.01,56.88,5.2,71.79
South Africa,2024,Hypertension,Autoimmune,12.49,8.39,3.73,218705.0,53.53,1.39,0.88,95.18,6.68,83.03
Mexico,2023,Asthma,Autoimmune,3.39,14.88,0.37,50485.0,91.08,3.05,2.28,54.01,3.0,48.94
Japan,2021,Diabetes,Parasitic,11.45,4.42,4.27,288555.0,91.48,4.16,7.58,56.59,3.65,64.16
Saudi Arabia,2023,Hypertension,Genetic,13.05,2.16,4.84,501178.0,89.98,3.91,1.26,64.92,4.11,44.44
Turkey,2020,Asthma,Neurological,11.91,5.77,5.09,865471.0,54.49,2.58,4.11,89.07,2.55,29.94
Italy,2021,Asthma,Viral,15.55,11.96,3.1,482908.0,65.61,2.45,8.98,62.38,8.04,45.86
UK,2021,Hypertension,Parasitic,2.49,14.83,4.49,962102.0,80.93,1.56,6.82,54.37,5.35,64.55
Italy,2022,Asthma,Chronic,2.45,12.72,4.02,671350.0,95.26,2.04,4.93,84.71,6.06,55.89
China,2023,Diabetes,Neurological,2.0,14.26,3.23,32075.0,98.32,1.16,4.45,91.89,5.02,49.78
Germany,2024,Diabetes,Bacterial,14.05,12.27,7.21,449383.0,57.09,3.39,9.56,89.18,3.93,23.78
India,2023,Diabetes,Chronic,10.21,6.77,6.52,733712.0,68.46,2.33,5.63,94.49,7.58,40.67
Argentina,2020,Asthma,Chronic,15.57,5.71,9.04,529602.0,63.48,1.38,3.01,54.18,7.5,70.7
Turkey,2022,Diabetes,Chronic,18.6,4.17,7.54,27635.0,79.37,3.69,8.45,95.89,5.73,80.88
Argentina,2021,Hypertension,Respiratory,8.98,9.33,1.85,237470.0,51.8,4.06,6.77,71.43,9.88,33.78
Canada,2024,Diabetes,Cardiovascular,14.8,4.55,3.16,137033.0,66.78,1.39,7.9,98.31,3.53,35.72
China,2022,Diabetes,Viral,9.31,13.87,3.92,902716.0,75.42,2.01,3.26,81.1,5.16,42.66
Turkey,2020,Diabetes,Respiratory,14.16,9.18,4.7,200275.0,82.03,1.27,0.51,88.67,5.07,43.46
USA,2023,Diabetes,Bacterial,15.98,12.49,0.4,920984.0,82.1,1.41,2.93,75.15,9.46,85.0
Canada,2023,Diabetes,Neurological,17.1,1.54,1.27,943970.0,53.5,4.33,9.84,50.42,9.32,31.79
Saudi Arabia,2024,Diabetes,Viral,14.37,3.2,6.91,327005.0,62.68,4.96,0.62,98.04,5.44,65.42
UK,2022,Asthma,Parasitic,8.48,5.49,3.94,726455.0,59.89,3.2,8.49,72.1,8.31,80.31
Italy,2020,Hypertension,Neurological,10.01,13.85,6.34,541134.0,50.84,4.63,6.05,77.41,4.92,22.45
Italy,2021,Cancer,Neurological,11.18,14.66,1.46,34812.0,92.99,2.07,6.8,87.21,5.98,89.2
UK,2022,Hypertension,Metabolic,3.92,0.49,1.89,591722.0,64.24,4.95,5.68,85.3,8.89,20.75
France,2023,Hypertension,Metabolic,16.77,4.34,4.06,871458.0,56.84,3.24,6.44,51.88,4.77,51.25
India,2020,Hypertension,Neurological,8.84,5.3,0.49,565385.0,52.69,4.35,2.37,77.36,8.59,23.45
South Africa,2024,Hypertension,Genetic,9.35,9.16,9.28,54340.0,87.89,1.42,6.73,97.36,2.87,74.97
Mexico,2020,Hypertension,Infectious,12.06,13.22,4.82,45241.0,88.85,2.24,7.29,84.89,6.42,62.22
China,2021,Cancer,Neurological,12.16,11.43,9.59,30899.0,64.32,1.2,3.84,69.78,3.21,35.15
India,2021,Hypertension,Cardiovascular,6.01,2.98,1.58,918796.0,80.05,4.61,2.96,74.13,9.03,29.16
Japan,2023,Cancer,Genetic,14.27,6.96,0.37,264258.0,53.82,1.43,5.49,85.31,0.63,69.35
Japan,2024,Cancer,Respiratory,13.43,6.39,1.44,439811.0,84.78,1.28,9.21,74.16,7.93,44.32
Mexico,2021,Diabetes,Neurological,6.28,6.38,2.25,789741.0,67.94,3.27,4.25,51.32,9.26,81.56
Nigeria,2022,Asthma,Chronic,5.94,7.49,8.88,377469.0,77.27,4.35,9.78,95.66,2.68,57.33
Brazil,2022,Diabetes,Neurological,4.24,8.07,3.26,435490.0,55.96,3.54,2.98,54.75,3.02,68.68
South Korea,2023,Hypertension,Genetic,7.73,13.72,3.93,837948.0,79.54,4.15,1.63,62.51,1.25,29.52
Argentina,2023,Diabetes,Viral,1.73,6.36,5.96,15993.0,71.08,1.89,4.47,93.96,6.5,22.61
France,2022,Diabetes,Autoimmune,6.87,4.21,2.21,998573.0,86.55,1.58,2.89,93.22,8.33,82.32
Australia,2022,Cancer,Respiratory,14.7,5.5,8.88,482892.0,98.14,1.4,2.41,90.69,8.81,62.68
Indonesia,2021,Diabetes,Genetic,5.85,5.85,8.46,303164.0,93.26,2.51,6.4,50.02,5.54,53.82
France,2023,Cancer,Genetic,17.75,9.85,2.86,822986.0,62.36,3.14,4.4,57.29,2.9,24.15
Saudi Arabia,2024,Asthma,Viral,18.35,2.41,5.07,464862.0,69.18,2.27,6.15,98.56,3.39,31.24
South Africa,2021,Hypertension,Neurological,11.98,2.99,0.4,117889.0,83.62,3.42,4.74,57.57,1.17,29.41
South Africa,2024,Cancer,Infectious,0.72,4.87,9.56,705801.0,75.88,1.04,1.09,77.32,8.92,85.83
Russia,2021,Cancer,Parasitic,16.6,4.27,1.25,813288.0,63.77,4.36,9.92,76.27,8.79,48.59
Nigeria,2022,Diabetes,Autoimmune,5.91,11.42,8.67,996294.0,57.18,1.2,2.33,91.45,6.57,54.02
France,2020,Diabetes,Genetic,15.81,0.57,7.94,339983.0,95.5,2.96,3.71,69.3,5.46,66.92
France,2020,Hypertension,Neurological,15.32,3.42,8.51,295982.0,70.17,2.21,7.88,59.65,4.58,61.46
Brazil,2023,Diabetes,Infectious,1.78,10.74,6.91,763873.0,69.26,0.6,4.23,81.32,8.77,37.77
South Africa,2022,Asthma,Metabolic,10.67,8.97,9.43,344937.0,50.84,4.08,0.51,53.38,7.36,36.77
Russia,2020,Cancer,Autoimmune,3.22,2.5,7.19,849903.0,75.71,2.0,5.36,92.87,1.02,43.31
India,2020,Hypertension,Chronic,19.43,3.84,9.72,552427.0,66.54,3.86,7.35,81.39,4.47,61.89
Brazil,2021,Diabetes,Metabolic,14.43,7.61,0.72,997970.0,86.65,3.11,5.36,93.07,8.79,23.3
Brazil,2020,Cancer,Cardiovascular,7.55,9.68,1.11,874331.0,56.0,2.13,8.19,71.76,7.32,33.65
Russia,2022,Diabetes,Bacterial,3.48,7.31,6.64,982810.0,76.97,3.72,8.27,79.36,3.87,87.3
UK,2020,Diabetes,Bacterial,1.26,8.74,9.64,563357.0,74.18,1.63,3.58,73.3,3.63,61.66
Russia,2022,Hypertension,Metabolic,16.24,4.15,8.95,267702.0,50.86,2.03,7.72,67.22,5.22,27.31
South Korea,2021,Diabetes,Cardiovascular,9.07,10.84,3.04,985770.0,88.66,2.77,1.13,98.98,0.1,69.48
Japan,2020,Diabetes,Chronic,3.75,12.01,5.89,327561.0,91.72,1.15,3.48,60.16,3.16,49.62
South Korea,2024,Hypertension,Cardiovascular,8.72,8.6,3.82,149991.0,78.59,4.36,9.55,65.73,7.86,87.73
Indonesia,2020,Hypertension,Bacterial,5.05,8.85,5.8,157671.0,82.68,1.72,3.74,60.19,0.57,64.39
South Korea,2024,Cancer,Respiratory,2.33,6.03,4.25,702427.0,93.86,1.47,4.21,91.97,1.06,50.03
India,2021,Hypertension,Genetic,19.58,0.34,8.15,593295.0,68.23,2.45,3.86,95.24,4.89,36.95
Brazil,2023,Hypertension,Infectious,0.12,1.42,2.99,631697.0,76.33,1.58,4.96,61.43,3.5,65.48
Indonesia,2024,Asthma,Neurological,18.75,9.17,2.49,493312.0,75.19,1.38,7.39,53.58,5.61,64.12
Russia,2024,Asthma,Respiratory,19.56,14.48,6.3,675190.0,88.19,1.89,5.89,52.97,8.94,33.8
Saudi Arabia,2023,Hypertension,Respiratory,14.32,13.59,7.22,293058.0,80.88,4.2,4.92,79.51,4.74,79.26
Turkey,2021,Asthma,Respiratory,9.3,14.93,0.48,503661.0,53.42,3.72,7.47,77.11,7.09,32.47
South Africa,2022,Asthma,Neurological,6.11,9.38,6.65,695704.0,64.16,0.8,9.28,73.62,7.42,33.33
Turkey,2023,Diabetes,Respiratory,5.12,2.74,9.15,59655.0,51.18,1.56,8.87,93.57,0.14,46.56
China,2020,Cancer,Cardiovascular,2.83,10.65,1.34,663022.0,69.39,2.7,7.09,70.48,1.93,71.48
Italy,2021,Asthma,Genetic,17.37,6.82,6.06,647022.0,71.18,4.04,0.57,80.75,9.21,54.78
India,2020,Hypertension,Infectious,7.71,13.34,0.44,333652.0,70.72,3.42,6.45,77.48,0.1,28.61
Saudi Arabia,2023,Asthma,Infectious,11.84,6.2,2.83,478426.0,84.71,2.17,3.51,62.1,3.0,57.9
China,2022,Cancer,Autoimmune,5.33,10.38,9.35,827170.0,95.83,3.61,5.15,55.4,0.94,31.46
France,2021,Cancer,Chronic,12.7,10.27,3.26,597183.0,72.3,1.83,3.33,71.3,5.94,55.44
Saudi Arabia,2021,Cancer,Parasitic,19.62,4.84,3.98,564615.0,97.6,1.25,1.9,96.32,1.34,30.82
USA,2021,Hypertension,Parasitic,9.69,5.95,3.49,416064.0,88.74,4.46,8.48,88.29,6.26,57.47
Argentina,2022,Asthma,Infectious,8.95,1.04,7.73,382625.0,61.78,1.93,4.81,91.6,8.08,44.18
India,2022,Diabetes,Genetic,15.38,12.29,5.84,458900.0,63.64,1.32,2.65,58.65,6.32,60.83
Nigeria,2023,Asthma,Genetic,7.56,12.48,6.23,542811.0,77.61,3.61,5.77,94.57,1.3,72.62
Germany,2024,Cancer,Chronic,8.63,12.95,1.16,461432.0,91.53,2.69,2.93,79.89,6.57,80.2
Turkey,2022,Asthma,Parasitic,15.91,14.85,8.99,191729.0,79.5,2.08,4.38,67.39,3.12,74.82
South Africa,2023,Hypertension,Respiratory,19.52,14.62,4.4,612623.0,70.17,3.17,8.74,96.07,9.06,87.39
Mexico,2024,Asthma,Parasitic,6.31,12.28,0.22,89021.0,85.99,2.65,8.22,53.11,2.52,89.02
Turkey,2024,Diabetes,Respiratory,7.32,10.9,0.8,603287.0,70.47,4.59,8.9,60.45,8.71,67.14
Argentina,2022,Diabetes,Infectious,1.53,9.93,4.34,866154.0,92.73,4.62,0.58,58.16,2.8,58.7
Brazil,2021,Hypertension,Autoimmune,18.21,2.83,2.7,550618.0,74.64,2.11,9.2,90.95,7.5,89.25
South Korea,2021,Diabetes,Respiratory,19.76,8.09,7.72,404604.0,80.25,4.63,6.3,90.59,7.62,25.68
USA,2021,Hypertension,Chronic,3.21,6.04,8.28,143920.0,52.79,4.18,9.4,54.83,6.31,44.77
Japan,2021,Asthma,Autoimmune,9.13,0.75,0.96,204849.0,94.3,1.54,9.61,78.24,6.16,34.89
South Africa,2020,Hypertension,Cardiovascular,9.64,11.09,9.31,34599.0,96.04,3.81,1.08,66.52,1.39,83.87
Indonesia,2023,Diabetes,Metabolic,0.18,7.9,0.34,271822.0,53.97,4.77,2.36,58.29,3.66,79.56
Canada,2023,Hypertension,Bacterial,16.47,10.37,2.45,187503.0,98.26,3.58,2.1,80.76,7.72,43.53
Turkey,2024,Asthma,Viral,7.24,5.23,5.84,875904.0,88.97,1.38,9.93,65.84,3.43,80.24
Australia,2021,Diabetes,Cardiovascular,5.21,7.34,1.61,709096.0,70.93,0.62,8.42,67.64,3.21,88.89
Russia,2021,Hypertension,Genetic,5.43,8.3,3.01,694658.0,69.16,2.31,6.11,70.29,6.42,70.08
UK,2024,Asthma,Respiratory,4.93,4.03,4.75,457055.0,98.87,1.89,5.22,89.78,3.44,27.46
Australia,2023,Asthma,Viral,18.1,4.79,2.62,757158.0,69.51,4.19,4.1,52.22,8.2,35.55
Argentina,2024,Diabetes,Parasitic,5.69,10.93,7.89,417675.0,92.26,1.77,8.55,64.36,3.34,88.03
India,2022,Asthma,Cardiovascular,0.27,4.97,2.64,934186.0,71.7,0.74,5.57,92.79,9.71,32.45
UK,2022,Asthma,Cardiovascular,14.9,7.26,7.04,399851.0,70.46,4.67,3.92,92.91,4.66,21.59
Italy,2023,Asthma,Viral,7.59,12.1,3.25,670792.0,98.91,1.57,5.64,84.72,9.16,56.71
South Africa,2023,Diabetes,Metabolic,8.2,4.8,4.12,598464.0,73.91,1.37,7.61,70.6,4.46,20.44
Canada,2024,Asthma,Respiratory,10.09,7.79,2.02,113506.0,87.74,1.19,6.01,78.6,8.47,38.22
Nigeria,2020,Diabetes,Respiratory,19.56,11.08,5.95,278994.0,96.41,2.22,6.39,59.98,4.77,26.04
Nigeria,2023,Cancer,Cardiovascular,8.04,10.58,2.89,683646.0,73.03,1.33,4.2,95.37,2.87,80.68
UK,2020,Cancer,Bacterial,5.75,0.52,6.75,728990.0,99.13,4.05,8.45,61.21,9.29,40.74
Australia,2024,Diabetes,Cardiovascular,4.83,11.86,3.42,706185.0,94.32,2.21,5.35,54.74,9.65,23.21
Italy,2021,Asthma,Respiratory,10.42,2.05,4.17,95756.0,87.56,4.78,8.97,76.5,6.05,21.49
India,2020,Diabetes,Metabolic,4.65,0.46,1.82,608441.0,68.88,1.26,5.6,78.36,2.37,78.19
Turkey,2022,Cancer,Infectious,5.15,9.37,5.66,60956.0,89.45,1.11,4.95,92.94,1.22,47.09
India,2021,Hypertension,Autoimmune,4.48,2.29,8.27,187786.0,69.91,3.66,3.21,57.5,3.65,22.05
Argentina,2024,Cancer,Cardiovascular,14.12,2.74,9.62,861813.0,82.52,4.81,2.76,80.97,1.63,68.04
Turkey,2022,Hypertension,Infectious,16.34,3.36,3.57,30967.0,63.99,3.47,1.31,56.66,3.21,47.52
Germany,2021,Diabetes,Chronic,18.19,4.96,7.84,999419.0,78.75,0.69,3.11,66.33,1.3,76.61
Brazil,2022,Asthma,Metabolic,0.27,7.92,3.73,158783.0,66.36,2.03,2.44,75.56,6.54,43.84
Russia,2020,Asthma,Viral,9.98,6.07,9.35,15372.0,65.89,1.93,0.77,65.56,2.63,69.15
Italy,2021,Cancer,Parasitic,3.73,4.53,5.8,35381.0,94.71,3.58,5.52,93.96,5.51,55.64
Brazil,2020,Asthma,Viral,6.77,0.34,8.58,737789.0,74.48,3.44,5.09,88.69,6.68,54.6
Turkey,2023,Diabetes,Bacterial,5.07,5.28,5.74,645645.0,70.0,2.75,3.47,71.55,7.17,81.66
UK,2021,Cancer,Bacterial,19.99,9.27,3.36,315468.0,92.55,3.64,5.46,63.04,9.51,77.74
Canada,2021,Hypertension,Bacterial,0.56,14.14,3.47,565715.0,59.89,2.36,7.65,75.04,4.64,65.35
China,2023,Asthma,Metabolic,2.02,14.08,7.73,131452.0,62.42,2.67,8.13,81.73,1.59,23.13
Argentina,2024,Cancer,Parasitic,6.2,12.73,0.88,653012.0,53.8,3.77,6.79,64.35,3.89,77.9
Argentina,2022,Asthma,Viral,13.17,12.57,4.21,330096.0,50.87,4.28,7.11,94.37,7.06,37.41
South Korea,2024,Diabetes,Genetic,5.86,3.96,6.12,692518.0,89.85,3.22,3.26,90.02,6.84,24.24
Germany,2022,Asthma,Bacterial,6.58,12.22,1.88,340268.0,76.03,4.81,2.39,71.76,1.43,22.71
Australia,2021,Hypertension,Genetic,17.34,10.52,3.69,733051.0,53.64,4.99,7.02,93.72,0.66,77.0
Japan,2022,Hypertension,Metabolic,3.14,6.59,0.38,100686.0,69.53,1.59,8.83,60.55,7.41,37.8
USA,2023,Cancer,Autoimmune,17.93,12.67,3.69,532266.0,85.41,0.69,8.89,54.79,7.15,82.25
Brazil,2021,Diabetes,Cardiovascular,15.79,3.81,2.16,775528.0,85.17,4.99,5.27,81.47,5.42,49.09
Russia,2022,Cancer,Parasitic,16.06,1.31,5.61,978809.0,63.08,3.85,6.03,59.75,2.37,71.63
Germany,2024,Hypertension,Respiratory,8.91,11.58,6.96,109423.0,81.01,4.98,1.36,96.21,3.99,21.06
Russia,2023,Asthma,Infectious,10.42,9.43,6.4,958132.0,84.06,2.55,1.84,80.48,7.34,57.92
Argentina,2021,Asthma,Parasitic,15.98,6.17,1.42,274298.0,89.47,2.77,4.77,68.08,9.61,69.81
Indonesia,2022,Diabetes,Infectious,5.21,5.73,8.6,979218.0,92.0,3.19,8.69,68.92,6.79,46.36
Japan,2022,Hypertension,Autoimmune,8.75,13.12,0.57,265584.0,71.47,4.85,9.39,89.73,4.06,44.02
Argentina,2021,Hypertension,Respiratory,12.87,4.16,6.21,72030.0,83.64,1.79,6.02,83.27,2.06,35.43
India,2024,Cancer,Chronic,10.75,6.45,6.93,687476.0,84.23,3.63,5.11,81.06,6.23,75.17
India,2024,Diabetes,Infectious,0.23,11.86,3.01,484628.0,82.72,3.37,4.41,52.49,6.72,71.93
Germany,2021,Diabetes,Neurological,3.28,5.24,4.59,95670.0,80.26,2.42,7.86,82.64,3.17,34.29
Australia,2023,Diabetes,Parasitic,7.26,11.9,3.63,614405.0,68.93,3.6,1.18,81.95,4.74,24.45
France,2022,Diabetes,Parasitic,17.78,0.44,9.38,660691.0,69.87,3.41,0.63,73.43,1.9,87.39
Argentina,2021,Hypertension,Bacterial,19.32,3.34,5.02,960465.0,78.99,1.01,8.38,84.53,4.7,72.65
Nigeria,2024,Hypertension,Respiratory,10.31,4.62,0.57,319427.0,51.36,0.74,3.86,94.86,3.9,84.26
Mexico,2020,Diabetes,Viral,14.94,9.63,8.6,58762.0,85.71,2.54,3.85,75.07,0.65,66.2
Australia,2023,Asthma,Parasitic,19.38,10.62,9.58,179700.0,75.17,2.67,9.36,52.73,5.42,49.49
Italy,2021,Hypertension,Viral,5.74,14.36,0.5,878732.0,88.83,2.41,4.39,66.71,6.61,39.11
India,2021,Cancer,Metabolic,4.69,6.77,6.8,771317.0,73.02,2.8,5.33,63.57,3.4,47.94
China,2022,Cancer,Viral,3.07,11.33,1.66,373801.0,89.54,0.52,9.66,58.76,9.06,80.05
Turkey,2020,Hypertension,Infectious,9.56,13.53,3.57,893986.0,71.99,2.7,7.93,55.33,9.82,66.2
Argentina,2023,Asthma,Chronic,0.89,8.24,5.16,868310.0,63.32,1.7,1.84,80.29,6.3,34.22
Saudi Arabia,2024,Cancer,Bacterial,9.93,4.01,8.58,968811.0,52.26,3.69,6.03,90.76,3.48,38.64
Brazil,2021,Hypertension,Neurological,15.6,14.28,9.96,761317.0,64.68,2.85,3.32,67.29,0.81,63.31
South Korea,2024,Hypertension,Cardiovascular,2.18,13.64,3.88,472873.0,52.13,3.86,8.88,87.46,1.23,59.03
Brazil,2022,Diabetes,Viral,16.76,9.96,3.14,135971.0,61.9,3.05,8.8,55.04,4.33,21.45
Saudi Arabia,2020,Cancer,Neurological,8.41,0.98,2.55,782762.0,83.12,3.91,2.94,86.46,9.47,23.83
Germany,2024,Cancer,Bacterial,9.68,4.41,6.87,347669.0,71.02,1.84,8.75,73.03,5.88,55.94
Saudi Arabia,2020,Asthma,Infectious,4.05,8.0,9.85,278269.0,85.01,0.77,5.44,93.6,9.69,67.44
Turkey,2024,Diabetes,Parasitic,1.34,5.52,4.97,367368.0,94.18,3.89,1.3,88.27,2.45,63.11
USA,2024,Asthma,Respiratory,18.82,13.43,8.11,914409.0,88.98,1.28,4.07,84.58,7.08,24.44
UK,2020,Diabetes,Neurological,5.15,7.28,8.59,478847.0,89.28,2.27,4.26,88.65,6.24,61.28
Brazil,2020,Hypertension,Viral,9.18,11.64,7.96,916953.0,67.3,0.6,1.11,90.75,1.29,25.11
Nigeria,2020,Diabetes,Metabolic,0.58,3.07,3.42,247672.0,89.74,4.42,3.82,90.16,3.93,62.82
Italy,2022,Asthma,Metabolic,13.67,4.34,1.16,317750.0,88.02,2.71,9.74,85.8,6.34,22.99
Saudi Arabia,2024,Cancer,Bacterial,13.03,2.02,6.92,866508.0,67.89,3.01,6.55,60.44,2.13,74.28
Italy,2021,Hypertension,Bacterial,5.09,10.92,8.35,577821.0,79.44,2.57,2.9,95.94,3.98,28.38
UK,2024,Asthma,Genetic,7.14,1.01,3.85,908094.0,73.28,2.34,2.47,78.45,0.27,34.84
Canada,2023,Diabetes,Neurological,4.41,14.71,9.61,372615.0,75.63,3.72,5.51,89.02,5.58,34.47
South Korea,2020,Hypertension,Autoimmune,3.23,4.93,9.2,701974.0,52.9,2.42,6.47,85.62,3.37,26.61
China,2020,Asthma,Infectious,15.63,0.84,6.71,341642.0,84.61,4.34,3.07,83.69,3.48,21.84
Indonesia,2023,Hypertension,Viral,15.11,10.72,4.32,852558.0,84.34,0.96,8.37,66.58,7.71,66.0
UK,2022,Hypertension,Cardiovascular,4.11,14.49,8.24,341659.0,83.34,2.57,8.86,59.63,9.41,62.61
India,2023,Asthma,Cardiovascular,11.44,10.47,5.8,76494.0,77.32,3.37,4.47,88.39,3.33,81.95
Canada,2021,Cancer,Chronic,9.28,10.71,7.84,897639.0,57.98,4.84,6.4,60.76,2.29,69.49
Turkey,2021,Hypertension,Respiratory,15.53,14.95,8.65,267402.0,83.34,2.17,1.06,65.46,8.01,70.77
Italy,2023,Asthma,Bacterial,11.66,12.92,3.51,882391.0,71.3,4.59,1.96,97.75,8.13,80.0
India,2024,Hypertension,Respiratory,14.2,3.42,9.98,480129.0,75.85,3.17,6.85,74.27,6.15,50.29
Russia,2022,Cancer,Metabolic,12.47,7.81,5.12,28924.0,84.18,3.79,7.26,64.75,4.76,43.47
Saudi Arabia,2020,Cancer,Metabolic,7.65,2.83,0.3,506586.0,85.61,3.15,4.11,75.45,8.91,48.52
Turkey,2024,Asthma,Viral,11.89,5.85,8.04,225298.0,59.66,4.74,2.88,83.73,3.88,26.95
Turkey,2023,Hypertension,Parasitic,6.35,9.99,6.78,287971.0,65.95,2.22,7.8,80.81,6.67,81.52
Mexico,2023,Asthma,Parasitic,9.66,0.63,4.53,785273.0,91.79,3.21,6.89,73.41,4.61,23.0
Saudi Arabia,2024,Diabetes,Metabolic,19.31,9.76,6.11,108173.0,87.69,2.6,2.62,97.81,5.64,26.92
Russia,2022,Asthma,Respiratory,8.08,3.89,0.99,388563.0,79.83,4.81,3.51,75.64,5.17,66.63
Australia,2023,Asthma,Infectious,6.44,11.21,4.31,562882.0,91.28,4.24,6.33,85.89,3.62,85.72
France,2020,Cancer,Respiratory,11.69,5.29,7.46,834698.0,93.69,3.71,4.89,86.99,6.23,42.84
South Korea,2022,Hypertension,Respiratory,16.7,6.79,0.39,451443.0,58.43,3.6,6.89,57.73,6.42,69.25
USA,2020,Hypertension,Viral,18.16,1.26,4.55,925141.0,67.09,1.37,3.92,58.4,6.77,66.66
Japan,2020,Cancer,Neurological,3.28,6.94,1.16,408741.0,81.87,2.17,7.56,85.38,1.32,62.59
Italy,2021,Diabetes,Infectious,4.32,1.79,0.83,902571.0,83.45,2.16,5.61,61.15,4.95,24.84
South Africa,2023,Hypertension,Chronic,16.9,11.84,1.76,214028.0,81.73,2.91,8.34,51.11,5.52,35.91
Nigeria,2024,Cancer,Chronic,6.22,9.75,9.7,35739.0,57.16,3.56,0.93,53.83,2.55,66.05
Japan,2021,Asthma,Neurological,10.08,8.74,6.96,378637.0,83.02,2.12,7.66,92.62,9.06,49.13
USA,2023,Diabetes,Bacterial,17.33,8.14,4.41,765348.0,82.28,1.72,8.92,52.01,0.59,36.08
Turkey,2023,Hypertension,Genetic,15.03,12.86,1.64,638078.0,81.84,3.98,0.87,76.87,0.78,58.42
UK,2023,Cancer,Chronic,14.5,2.5,8.55,641167.0,64.59,3.04,7.88,91.49,1.79,33.74
Canada,2022,Diabetes,Chronic,3.43,3.87,8.46,428180.0,66.25,3.95,8.0,60.69,4.33,51.36
Saudi Arabia,2021,Asthma,Bacterial,11.73,1.98,2.68,472034.0,89.67,1.47,1.83,72.42,4.61,76.69
USA,2021,Asthma,Bacterial,11.96,1.19,7.62,863338.0,53.96,1.48,6.94,72.77,0.85,32.78
Indonesia,2024,Cancer,Viral,14.15,6.27,6.86,986220.0,63.08,2.81,3.63,62.14,3.1,25.79
Canada,2022,Diabetes,Chronic,14.66,13.27,6.08,994498.0,94.56,4.76,8.34,50.51,0.51,23.34
Australia,2024,Asthma,Autoimmune,18.1,12.42,3.88,78129.0,50.33,4.7,5.88,56.75,9.79,72.82
India,2024,Cancer,Chronic,0.84,10.46,2.95,890191.0,59.56,3.59,7.36,54.23,7.54,38.9
France,2020,Cancer,Chronic,12.27,14.61,6.94,141143.0,79.36,2.58,3.56,79.52,1.17,66.01
France,2021,Diabetes,Metabolic,18.75,9.01,8.44,735446.0,60.86,5.0,6.26,92.19,2.75,66.88
Russia,2024,Asthma,Respiratory,17.39,10.79,2.98,421039.0,96.34,0.75,4.98,94.41,6.57,49.97
Argentina,2024,Diabetes,Cardiovascular,19.7,6.32,7.9,778761.0,54.54,1.78,3.81,51.58,3.21,60.04
South Africa,2021,Hypertension,Parasitic,8.42,0.86,4.98,180096.0,96.65,2.66,3.85,53.3,5.81,28.8
India,2022,Cancer,Parasitic,12.94,0.57,0.73,285191.0,89.06,3.77,7.11,92.28,1.23,63.72
China,2023,Asthma,Bacterial,12.73,8.33,6.05,365466.0,51.52,1.3,6.68,95.08,5.94,84.26
Nigeria,2020,Diabetes,Infectious,12.41,5.22,1.5,695597.0,92.91,3.47,0.65,90.23,9.0,57.85
Mexico,2023,Cancer,Metabolic,5.7,5.22,1.02,641294.0,89.2,3.11,5.14,73.55,7.37,62.62
Turkey,2023,Diabetes,Autoimmune,1.21,13.93,8.87,611011.0,73.37,3.44,2.09,85.09,9.49,52.72
Australia,2022,Cancer,Bacterial,14.62,12.41,1.03,555189.0,51.66,3.25,4.57,94.35,1.58,26.79
South Africa,2023,Asthma,Cardiovascular,15.87,12.89,0.63,577297.0,68.2,3.53,1.09,90.59,6.42,27.14
China,2020,Cancer,Infectious,5.82,7.02,8.92,296023.0,83.42,2.98,6.55,64.14,2.4,71.56
Germany,2023,Diabetes,Metabolic,7.95,11.45,2.84,516452.0,99.15,1.01,2.61,88.64,5.69,71.24
Germany,2020,Diabetes,Neurological,5.95,14.01,4.05,405812.0,61.22,4.69,9.19,90.04,7.91,24.57
Russia,2021,Asthma,Chronic,4.94,14.52,8.94,354912.0,94.62,1.41,8.83,82.4,1.16,76.34
Germany,2022,Asthma,Parasitic,19.87,8.05,6.45,481293.0,51.89,4.56,9.92,97.11,6.28,27.62
Russia,2024,Cancer,Autoimmune,14.59,12.04,3.5,125911.0,52.7,2.04,3.96,81.14,0.09,20.25
Nigeria,2021,Asthma,Neurological,1.98,0.63,5.73,280371.0,86.76,2.02,4.15,55.13,2.35,80.25
Italy,2024,Hypertension,Chronic,13.9,3.35,2.64,673182.0,52.85,3.87,0.53,89.62,1.92,72.03
Italy,2022,Hypertension,Infectious,6.4,10.15,5.78,943466.0,83.0,4.68,5.8,86.42,7.3,89.25
Canada,2020,Diabetes,Autoimmune,15.89,11.13,2.78,382267.0,74.43,0.89,0.89,87.61,7.31,62.02
